Customer_Id,Customer_Type,Region,Fresh,Milk,Canned,Frozen,Detergents_Paper,Cooked_Meat
5321,Retail,Dublin,12669,9656,7561,214,2674,1338
5322,Retail,Dublin,7057,9810,9568,1762,3293,1776
5323,Retail,Dublin,6353,8808,7684,2405,3516,7844
5324,Hotel/Restaurant/Cafe,Dublin,13265,1196,4221,6404,507,1788
5325,Retail,Dublin,22615,5410,7198,3915,1777,5185
5326,Retail,Dublin,9413,8259,5126,666,1795,1451
5327,Retail,Dublin,12126,3199,6975,480,3140,545
5328,Retail,Dublin,7579,4956,9426,1669,3321,2566
5329,Hotel/Restaurant/Cafe,Dublin,5963,3648,6192,425,1716,750
5330,Retail,Dublin,6006,11093,18881,1159,7425,2098
5331,Retail,Dublin,3366,5403,12974,4400,5977,1744
5332,Retail,Dublin,13146,1124,4523,1420,549,497
5333,Retail,Dublin,31714,12319,11757,287,3881,2931
5334,Retail,Dublin,21217,6208,14982,3095,6707,602
5335,Retail,Dublin,24653,9465,12091,294,5058,2168
5336,Hotel/Restaurant/Cafe,Dublin,10253,1114,3821,397,964,412
5337,Retail,Dublin,1020,8816,12121,134,4508,1080
5338,Hotel/Restaurant/Cafe,Dublin,5876,6157,2933,839,370,4478
5339,Retail,Dublin,18601,6327,10099,2205,2767,3181
5340,Hotel/Restaurant/Cafe,Dublin,7780,2495,9464,669,2518,501
5341,Retail,Dublin,17546,4519,4602,1066,2259,2124
5342,Hotel/Restaurant/Cafe,Dublin,5567,871,2010,3383,375,569
5343,Hotel/Restaurant/Cafe,Dublin,31276,1917,4469,9408,2381,4334
5344,Retail,Dublin,26373,36423,22019,5154,4337,16523
5345,Retail,Dublin,22647,9776,13792,2915,4482,5778
5346,Retail,Dublin,16165,4230,7595,201,4003,57
5347,Hotel/Restaurant/Cafe,Dublin,9898,961,2861,3151,242,833
5348,Hotel/Restaurant/Cafe,Dublin,14276,803,3045,485,100,518
5349,Retail,Dublin,4113,20484,25957,1158,8604,5206
5350,Hotel/Restaurant/Cafe,Dublin,43088,2100,2609,1200,1107,823
5351,Hotel/Restaurant/Cafe,Dublin,18815,3610,11107,1148,2134,2963
5352,Hotel/Restaurant/Cafe,Dublin,2612,4339,3133,2088,820,985
5353,Hotel/Restaurant/Cafe,Dublin,21632,1318,2886,266,918,405
5354,Hotel/Restaurant/Cafe,Dublin,29729,4786,7326,6130,361,1083
5355,Hotel/Restaurant/Cafe,Dublin,1502,1979,2262,425,483,395
5356,Retail,Dublin,688,5491,11091,833,4239,436
5357,Hotel/Restaurant/Cafe,Dublin,29955,4362,5428,1729,862,4626
5358,Retail,Dublin,15168,10556,12477,1920,6506,714
5359,Retail,Dublin,4591,15729,16709,33,6956,433
5360,Hotel/Restaurant/Cafe,Dublin,56159,555,902,10002,212,2916
5361,Hotel/Restaurant/Cafe,Dublin,24025,4332,4757,9510,1145,5864
5362,Hotel/Restaurant/Cafe,Dublin,19176,3065,5956,2033,2575,2802
5363,Retail,Dublin,10850,7555,14961,188,6899,46
5364,Retail,Dublin,630,11095,23998,787,9529,72
5365,Retail,Dublin,9670,7027,10471,541,4618,65
5366,Retail,Dublin,5181,22044,21531,1740,7353,4985
5367,Retail,Dublin,3103,14069,21955,1668,6792,1452
5368,Retail,Dublin,44466,54259,55571,7782,24171,6465
5369,Retail,Dublin,11519,6152,10868,584,5121,1476
5370,Retail,Dublin,4967,21412,28921,1798,13583,1163
5371,Hotel/Restaurant/Cafe,Dublin,6269,1095,1980,3860,609,2162
5372,Hotel/Restaurant/Cafe,Dublin,3347,4051,6996,239,1538,301
5373,Retail,Dublin,40721,3916,5876,532,2587,1278
5374,Retail,Dublin,491,10473,11532,744,5611,224
5375,Hotel/Restaurant/Cafe,Dublin,27329,1449,1947,2436,204,1333
5376,Hotel/Restaurant/Cafe,Dublin,5264,3683,5005,1057,2024,1130
5377,Retail,Dublin,4098,29892,26866,2616,17740,1340
5378,Retail,Dublin,5417,9933,10487,38,7572,1282
5379,Hotel/Restaurant/Cafe,Dublin,13779,1970,1648,596,227,436
5380,Hotel/Restaurant/Cafe,Dublin,6137,5360,8040,129,3084,1603
5381,Retail,Dublin,8590,3045,7854,96,4095,225
5382,Retail,Dublin,35942,38369,59598,3254,26701,2017
5383,Retail,Dublin,7823,6245,6544,4154,4074,964
5384,Retail,Dublin,9396,11601,15775,2896,7677,1295
5385,Hotel/Restaurant/Cafe,Dublin,4760,1227,3250,3724,1247,1145
5386,Retail,Dublin,85,20959,45828,36,24231,1423
5387,Hotel/Restaurant/Cafe,Dublin,9,1534,7417,175,3468,27
5388,Retail,Dublin,19913,6759,13462,1256,5141,834
5389,Hotel/Restaurant/Cafe,Dublin,2446,7260,3993,5870,788,3095
5390,Hotel/Restaurant/Cafe,Dublin,8352,2820,1293,779,656,144
5391,Hotel/Restaurant/Cafe,Dublin,16705,2037,3202,10643,116,1365
5392,Hotel/Restaurant/Cafe,Dublin,18291,1266,21042,5373,4173,14472
5393,Hotel/Restaurant/Cafe,Dublin,4420,5139,2661,8872,1321,181
5394,Retail,Dublin,19899,5332,8713,8132,764,648
5395,Retail,Dublin,8190,6343,9794,1285,1901,1780
5396,Hotel/Restaurant/Cafe,Dublin,20398,1137,3,4407,3,975
5397,Hotel/Restaurant/Cafe,Dublin,717,3587,6532,7530,529,894
5398,Retail,Dublin,12205,12697,28540,869,12034,1009
5399,Hotel/Restaurant/Cafe,Dublin,10766,1175,2067,2096,301,167
5400,Hotel/Restaurant/Cafe,Dublin,1640,3259,3655,868,1202,1653
5401,Hotel/Restaurant/Cafe,Dublin,7005,829,3009,430,610,529
5402,Retail,Dublin,219,9540,14403,283,7818,156
5403,Retail,Dublin,10362,9232,11009,737,3537,2342
5404,Hotel/Restaurant/Cafe,Dublin,20874,1563,1783,2320,550,772
5405,Retail,Dublin,11867,3327,4814,1178,3837,120
5406,Retail,Dublin,16117,46197,92780,1026,40827,2944
5407,Retail,Dublin,22925,73498,32114,987,20070,903
5408,Hotel/Restaurant/Cafe,Dublin,43265,5025,8117,6312,1579,14351
5409,Hotel/Restaurant/Cafe,Dublin,7864,542,4042,9735,165,46
5410,Hotel/Restaurant/Cafe,Dublin,24904,3836,5330,3443,454,3178
5411,Hotel/Restaurant/Cafe,Dublin,11405,596,1638,3347,69,360
5412,Hotel/Restaurant/Cafe,Dublin,12754,2762,2530,8693,627,1117
5413,Retail,Dublin,9198,27472,32034,3232,18906,5130
5414,Hotel/Restaurant/Cafe,Dublin,11314,3090,2062,35009,71,2698
5415,Retail,Dublin,5626,12220,11323,206,5038,244
5416,Hotel/Restaurant/Cafe,Dublin,3,2920,6252,440,223,709
5417,Retail,Dublin,23,2616,8118,145,3874,217
5418,Hotel/Restaurant/Cafe,Dublin,403,254,610,774,54,63
5419,Hotel/Restaurant/Cafe,Dublin,503,112,778,895,56,132
5420,Hotel/Restaurant/Cafe,Dublin,9658,2182,1909,5639,215,323
5421,Retail,Dublin,11594,7779,12144,3252,8035,3029
5422,Retail,Dublin,1420,10810,16267,1593,6766,1838
5423,Retail,Dublin,2932,6459,7677,2561,4573,1386
5424,Hotel/Restaurant/Cafe,Dublin,56082,3504,8906,18028,1480,2498
5425,Hotel/Restaurant/Cafe,Dublin,14100,2132,3445,1336,1491,548
5426,Hotel/Restaurant/Cafe,Dublin,15587,1014,3970,910,139,1378
5427,Retail,Dublin,1454,6337,10704,133,6830,1831
5428,Retail,Dublin,8797,10646,14886,2471,8969,1438
5429,Retail,Dublin,1531,8397,6981,247,2505,1236
5430,Retail,Dublin,1406,16729,28986,673,836,3
5431,Hotel/Restaurant/Cafe,Dublin,11818,1648,1694,2276,169,1647
5432,Retail,Dublin,12579,11114,17569,805,6457,1519
5433,Hotel/Restaurant/Cafe,Dublin,19046,2770,2469,8853,483,2708
5434,Hotel/Restaurant/Cafe,Dublin,14438,2295,1733,3220,585,1561
5435,Hotel/Restaurant/Cafe,Dublin,18044,1080,2000,2555,118,1266
5436,Hotel/Restaurant/Cafe,Dublin,11134,793,2988,2715,276,610
5437,Hotel/Restaurant/Cafe,Dublin,11173,2521,3355,1517,310,222
5438,Hotel/Restaurant/Cafe,Dublin,6990,3880,5380,1647,319,1160
5439,Hotel/Restaurant/Cafe,Dublin,20049,1891,2362,5343,411,933
5440,Hotel/Restaurant/Cafe,Dublin,8258,2344,2147,3896,266,635
5441,Hotel/Restaurant/Cafe,Dublin,17160,1200,3412,2417,174,1136
5442,Hotel/Restaurant/Cafe,Dublin,4020,3234,1498,2395,264,255
5443,Hotel/Restaurant/Cafe,Dublin,12212,201,245,1991,25,860
5444,Retail,Dublin,11170,10769,8814,2194,1976,143
5445,Hotel/Restaurant/Cafe,Dublin,36050,1642,2961,4787,500,1621
5446,Hotel/Restaurant/Cafe,Dublin,76237,3473,7102,16538,778,918
5447,Hotel/Restaurant/Cafe,Dublin,19219,1840,1658,8195,349,483
5448,Retail,Dublin,21465,7243,10685,880,2386,2749
5449,Hotel/Restaurant/Cafe,Dublin,140,8847,3823,142,1062,3
5450,Hotel/Restaurant/Cafe,Dublin,42312,926,1510,1718,410,1819
5451,Hotel/Restaurant/Cafe,Dublin,7149,2428,699,6316,395,911
5452,Hotel/Restaurant/Cafe,Dublin,2101,589,314,346,70,310
5453,Hotel/Restaurant/Cafe,Dublin,14903,2032,2479,576,955,328
5454,Hotel/Restaurant/Cafe,Dublin,9434,1042,1235,436,256,396
5455,Hotel/Restaurant/Cafe,Dublin,7388,1882,2174,720,47,537
5456,Hotel/Restaurant/Cafe,Dublin,6300,1289,2591,1170,199,326
5457,Hotel/Restaurant/Cafe,Dublin,4625,8579,7030,4575,2447,1542
5458,Hotel/Restaurant/Cafe,Dublin,3087,8080,8282,661,721,36
5459,Hotel/Restaurant/Cafe,Dublin,13537,4257,5034,155,249,3271
5460,Hotel/Restaurant/Cafe,Dublin,5387,4979,3343,825,637,929
5461,Hotel/Restaurant/Cafe,Dublin,17623,4280,7305,2279,960,2616
5462,Hotel/Restaurant/Cafe,Dublin,30379,13252,5189,321,51,1450
5463,Hotel/Restaurant/Cafe,Dublin,37036,7152,8253,2995,20,3
5464,Hotel/Restaurant/Cafe,Dublin,10405,1596,1096,8425,399,318
5465,Hotel/Restaurant/Cafe,Dublin,18827,3677,1988,118,516,201
5466,Retail,Dublin,22039,8384,34792,42,12591,4430
5467,Hotel/Restaurant/Cafe,Dublin,7769,1936,2177,926,73,520
5468,Hotel/Restaurant/Cafe,Dublin,9203,3373,2707,1286,1082,526
5469,Hotel/Restaurant/Cafe,Dublin,5924,584,542,4052,283,434
5470,Hotel/Restaurant/Cafe,Dublin,31812,1433,1651,800,113,1440
5471,Hotel/Restaurant/Cafe,Dublin,16225,1825,1765,853,170,1067
5472,Hotel/Restaurant/Cafe,Dublin,1289,3328,2022,531,255,1774
5473,Hotel/Restaurant/Cafe,Dublin,18840,1371,3135,3001,352,184
5474,Hotel/Restaurant/Cafe,Dublin,3463,9250,2368,779,302,1627
5475,Hotel/Restaurant/Cafe,Dublin,622,55,137,75,7,8
5476,Retail,Dublin,1989,10690,19460,233,11577,2153
5477,Retail,Dublin,3830,5291,14855,317,6694,3182
5478,Hotel/Restaurant/Cafe,Dublin,17773,1366,2474,3378,811,418
5479,Retail,Dublin,2861,6570,9618,930,4004,1682
5480,Retail,Dublin,355,7704,14682,398,8077,303
5481,Retail,Dublin,1725,3651,12822,824,4424,2157
5482,Hotel/Restaurant/Cafe,Dublin,12434,540,283,1092,3,2233
5483,Hotel/Restaurant/Cafe,Dublin,15177,2024,3810,2665,232,610
5484,Retail,Dublin,5531,15726,26870,2367,13726,446
5485,Retail,Dublin,5224,7603,8584,2540,3674,238
5486,Retail,Dublin,15615,12653,19858,4425,7108,2379
5487,Retail,Dublin,4822,6721,9170,993,4973,3637
5488,Hotel/Restaurant/Cafe,Dublin,2926,3195,3268,405,1680,693
5489,Hotel/Restaurant/Cafe,Dublin,5809,735,803,1393,79,429
5490,Hotel/Restaurant/Cafe,Dublin,5414,717,2155,2399,69,750
5491,Retail,Dublin,260,8675,13430,1116,7015,323
5492,Retail,Dublin,200,25862,19816,651,8773,6250
5493,Hotel/Restaurant/Cafe,Dublin,955,5479,6536,333,2840,707
5494,Retail,Dublin,514,7677,19805,937,9836,716
5495,Hotel/Restaurant/Cafe,Dublin,286,1208,5241,2515,153,1442
5496,Retail,Dublin,2343,7845,11874,52,4196,1697
5497,Hotel/Restaurant/Cafe,Dublin,45640,6958,6536,7368,1532,230
5498,Hotel/Restaurant/Cafe,Dublin,12759,7330,4533,1752,20,2631
5499,Hotel/Restaurant/Cafe,Dublin,11002,7075,4945,1152,120,395
5500,Hotel/Restaurant/Cafe,Dublin,3157,4888,2500,4477,273,2165
5501,Hotel/Restaurant/Cafe,Dublin,12356,6036,8887,402,1382,2794
5502,Hotel/Restaurant/Cafe,Dublin,112151,29627,18148,16745,4948,8550
5503,Hotel/Restaurant/Cafe,Dublin,694,8533,10518,443,6907,156
5504,Hotel/Restaurant/Cafe,Dublin,36847,43950,20170,36534,239,47943
5505,Hotel/Restaurant/Cafe,Dublin,327,918,4710,74,334,11
5506,Hotel/Restaurant/Cafe,Dublin,8170,6448,1139,2181,58,247
5507,Hotel/Restaurant/Cafe,Dublin,3009,521,854,3470,949,727
5508,Hotel/Restaurant/Cafe,Dublin,2438,8002,9819,6269,3459,3
5509,Retail,Dublin,8040,7639,11687,2758,6839,404
5510,Retail,Dublin,834,11577,11522,275,4027,1856
5511,Hotel/Restaurant/Cafe,Dublin,16936,6250,1981,7332,118,64
5512,Hotel/Restaurant/Cafe,Dublin,13624,295,1381,890,43,84
5513,Hotel/Restaurant/Cafe,Dublin,5509,1461,2251,547,187,409
5514,Retail,Dublin,180,3485,20292,959,5618,666
5515,Hotel/Restaurant/Cafe,Dublin,7107,1012,2974,806,355,1142
5516,Hotel/Restaurant/Cafe,Dublin,17023,5139,5230,7888,330,1755
5517,Hotel/Restaurant/Cafe,Cork,30624,7209,4897,18711,763,2876
5518,Retail,Cork,2427,7097,10391,1127,4314,1468
5519,Hotel/Restaurant/Cafe,Cork,11686,2154,6824,3527,592,697
5520,Hotel/Restaurant/Cafe,Cork,9670,2280,2112,520,402,347
5521,Retail,Cork,3067,13240,23127,3941,9959,731
5522,Retail,Cork,4484,14399,24708,3549,14235,1681
5523,Hotel/Restaurant/Cafe,Cork,25203,11487,9490,5065,284,6854
5524,Hotel/Restaurant/Cafe,Cork,583,685,2216,469,954,18
5525,Hotel/Restaurant/Cafe,Cork,1956,891,5226,1383,5,1328
5526,Retail,Cork,1107,11711,23596,955,9265,710
5527,Hotel/Restaurant/Cafe,Cork,6373,780,950,878,288,285
5528,Retail,Cork,2541,4737,6089,2946,5316,120
5529,Hotel/Restaurant/Cafe,Cork,1537,3748,5838,1859,3381,806
5530,Retail,Cork,5550,12729,16767,864,12420,797
5531,Hotel/Restaurant/Cafe,Cork,18567,1895,1393,1801,244,2100
5532,Retail,Cork,12119,28326,39694,4736,19410,2870
5533,Hotel/Restaurant/Cafe,Cork,7291,1012,2062,1291,240,1775
5534,Hotel/Restaurant/Cafe,Cork,3317,6602,6861,1329,3961,1215
5535,Retail,Cork,2362,6551,11364,913,5957,791
5536,Hotel/Restaurant/Cafe,Cork,2806,10765,15538,1374,5828,2388
5537,Retail,Cork,2532,16599,36486,179,13308,674
5538,Hotel/Restaurant/Cafe,Cork,18044,1475,2046,2532,130,1158
5539,Retail,Cork,18,7504,15205,1285,4797,6372
5540,Hotel/Restaurant/Cafe,Cork,4155,367,1390,2306,86,130
5541,Hotel/Restaurant/Cafe,Cork,14755,899,1382,1765,56,749
5542,Hotel/Restaurant/Cafe,Cork,5396,7503,10646,91,4167,239
